title,ranks,link
人工智能,8.7,https://movie.douban.com/subject/1302827/
虎口脱险,8.9,https://movie.douban.com/subject/1296909/
恋恋笔记本,8.5,https://movie.douban.com/subject/1309163/
新龙门客栈,8.7,https://movie.douban.com/subject/1292287/
无耻混蛋,8.7,https://movie.douban.com/subject/1438652/
花束般的恋爱,8.6,https://movie.douban.com/subject/34874432/
罗生门,8.8,https://movie.douban.com/subject/1291879/
高山下的花环,9.5,https://movie.douban.com/subject/1422283/
崖上的波妞,8.6,https://movie.douban.com/subject/1959877/
千钧一发,8.8,https://movie.douban.com/subject/1300117/
彗星来的那一夜,8.6,https://movie.douban.com/subject/25807345/
哈利·波特与死亡圣器(上),8.6,https://movie.douban.com/subject/2051007/
白日梦想家,8.6,https://movie.douban.com/subject/2133323/
萤火虫之墓,8.7,https://movie.douban.com/subject/1293318/
黑客帝国2：重装上阵,8.7,https://movie.douban.com/subject/1304141/
奇迹男孩,8.6,https://movie.douban.com/subject/26787574/
火星救援,8.5,https://movie.douban.com/subject/25864085/
二十二,8.7,https://movie.douban.com/subject/26430107/
战争之王,8.7,https://movie.douban.com/subject/1419936/
血钻,8.7,https://movie.douban.com/subject/1428175/
哈利·波特与凤凰社,8.5,https://movie.douban.com/subject/1457217/
步履不停,8.8,https://movie.douban.com/subject/2222996/
千年女优,8.8,https://movie.douban.com/subject/1307394/
大红灯笼高高挂,8.8,https://movie.douban.com/subject/1293323/
房间,8.8,https://movie.douban.com/subject/25724855/
魂断蓝桥,8.8,https://movie.douban.com/subject/1293964/
谍影重重2,8.7,https://movie.douban.com/subject/1308767/
蜘蛛侠：平行宇宙,8.6,https://movie.douban.com/subject/26374197/
弱点,8.7,https://movie.douban.com/subject/3552028/
谍影重重,8.6,https://movie.douban.com/subject/1304102/
阿飞正传,8.5,https://movie.douban.com/subject/1305690/
朗读者,8.6,https://movie.douban.com/subject/2213597/
隐藏人物,8.9,https://movie.douban.com/subject/26615208/
再次出发之纽约遇见你,8.6,https://movie.douban.com/subject/6874403/
